"PI","Country","LRADescending","PRL","SOL2","TRL_GR","SUM","DTRanked"
"PI363204","",37,12,-213,5,-159,1
"PI264686","Philippines",42,3,-195,1,-149,2
"PI425271","Pakistan",4,15,-125,17,-89,4
"PI425551","Korea",104,11,-207,3,-89,4
"PI369768","Philippines",14,88,-219,51,-66,6
"PI425580","Korea",16,83,-190,25,-66,6
"PI425160","Australia",10,43,-124,8,-63,7
"PI377231","India",134,1,-220,24,-61,8
"PI425485","India",83,19,-212,52,-58,9
"PI425593","",20,92,-177,10,-55,10
"PI201869","Iran",84,39,-205,32,-50,11
"PI377363","India",19,66,-178,48,-45,12
"PI213012","India",21,108,-201,45,-27,13
"CommChk1","",34,40,-218,122,-22,14
"PI363485","India",47,101,-193,40,-5,15
"PI425585","Korea",118,22,-154,11,-3,16
"PI425512","Philippines",48,72,-130,19,9,17
"PI183458","India",27,16,-47,15,11,18
"PI425814","Korea",46,32,-88,27,17,19
"PI377241","India",126,45,-196,49,24,20
"PI425811","Korea",112,69,-165,18,34,21
"PI363416","India",114,52,-156,30,40,22
"PI377039","India",22,46,-210,185,43,24
"PI377283","India",152,51,-203,43,43,24
"PI377197","India",79,41,-158,86,48,25
"PI363494","India",45,54,-139,95,55,26
"PI377147","Iran",13,79,-55,28,65,28
"PI425504","India",80,64,-137,58,65,28
"PI425274","India",56,85,-157,82,66,29
"PI363341","India",25,17,-53,84,73,31
"PI425570","Korea",52,150,-208,79,73,31
"PI426118","India",197,20,-175,36,78,32
"PI363592","India",75,90,-142,57,80,33
"PI363377","India",5,37,-49,88,81,34
"PI363763","India",29,144,-191,103,85,35
"PI363766","India",15,62,-128,138,87,36
"PI425518","United Kingdom",140,28,-166,92,94,37
"PI377022","United States",32,73,-14,6,97,38
"PI425548","Korea",178,129,-217,9,99,39
"PI377338","India",72,6,-41,64,101,40
"PI164726","India",78,169,-215,72,104,41
"PI425557","Korea",38,154,-152,65,105,42
"CommChk2","",102,71,-136,70,107,43
"PI425546","Korea",186,24,-151,50,109,44
"AVMU0201","Taiwan",217,48,-186,34,113,45
"PI425522","United Kingdom",184,27,-101,4,114,46
"PI368275","India",109,70,-85,22,116,47
"PI363566","India",73,35,-87,97,118,48
"PI377276","India",132,42,-114,59,119,49
"PI364225","India",203,57,-200,66,126,50
"PI377266","India",58,21,-65,113,127,52
"PI425201","Australia",107,176,-197,41,127,52
"PI376923","Philippines",18,213,-189,89,131,54
"PI426058","India",12,99,-174,194,131,54
"PI363324","India",145,174,-194,12,137,55
"PI426149","India",108,26,-90,94,138,56
"PI377207","India",167,56,-162,80,141,57
"PI426042","Australia",124,113,-120,26,143,58
"PI377298","India",95,29,-68,90,146,59
"PI426127","India",120,86,-146,91,151,60
"PI364047","India",143,178,-222,53,152,61
"PI425463","",136,94,-93,16,153,62
"PI363272","",177,23,-99,55,156,63
"PI425803","Korea",105,61,-44,37,159,64
"PI368279","Taiwan",28,125,-50,60,163,65
"PI425388","India",110,89,-143,109,165,66
"PI362324","Korea",66,171,-141,74,170,69
"PI377235","India",194,10,-132,98,170,69
"PI425581","Korea",41,153,-117,93,170,69
"PI377195","India",76,8,-40,127,171,70
"PI425599","Thailand",154,74,-61,7,174,71
"PI377271","India",62,78,-97,133,176,72
"PI425254","India",8,111,-131,192,180,73
"PI363828","India",90,142,-52,2,182,74
"PI364119","India",125,60,-48,46,183,76
"PI425646","Afghanistan",198,53,-89,21,183,76
"PI368329","India",100,127,-164,121,184,77
"PI425582","Korea",116,162,-135,42,185,78
"PI363332","India",23,205,-188,147,187,79
"PI364007",NA,24,206,-148,106,188,80
"PI377242","India",1,207,-223,205,190,82
"PI425423","India",135,13,-35,77,190,82
"PI363668","India",93,116,-161,144,192,84
"PI425520","United Kingdom",61,198,-81,14,192,84
"PI377281","India",166,38,-23,13,194,85
"PI425818","Korea",199,33,-58,23,197,86
"PI364224","India",9,189,-221,221,198,88
"PI425259","India",51,175,-206,178,198,88
"PI363506","India",35,122,-173,215,199,90
"PI377203","India",36,110,-116,169,199,90
"PI363354","India",139,97,-150,114,200,92
"PI377220","India",219,55,-149,75,200,92
"PI377261","India",98,50,-76,131,203,93
"PI163110","India",31,138,-46,81,204,94
"PI425484","India",65,18,-5,128,206,95
"PI346315","India",163,109,-103,38,207,97
"PI363330","India",67,172,-182,150,207,97
"PI376849","Thailand",223,5,-86,68,210,99
"PI425511","Philippines",7,131,-6,78,210,99
"PI425389","India",43,75,-36,130,212,100
"PI425824","Philippines",30,107,-72,148,213,101
"PI425841","Pakistan",172,9,-29,63,215,102
"TypeP","India",40,124,-84,140,220,103
"PI425387","India",150,91,-119,100,222,104
"PI377244","India",115,152,-106,62,223,105
"PI377232","India",57,31,-24,162,226,107
"PI425425","India",213,197,-204,20,226,107
"PI377265","India",111,102,-153,170,230,108
"PI425840","Pakistan",127,4,-8,108,231,109
"PI363779","India",179,14,-28,67,232,111
"PI425169","Australia",216,2,-19,33,232,111
"PI363613","India",50,84,-95,195,234,113
"PI425766","India",11,219,-192,196,234,113
"PI363782","India",74,76,-51,137,236,114
"PI425552","Korea",81,136,-133,153,237,115
"PI377262","India",68,195,-214,189,238,116
"PI179703","India",3,185,-1,54,241,117
"PI426109","India",101,148,-94,87,242,118
"PI425509","India",60,59,-75,199,243,119
"PI363301","India",17,112,-64,179,244,120
"PI377259","India",87,194,-176,141,246,121
"PI363271","India",71,63,-9,125,250,124
"PI425891","Iran",168,68,-57,71,250,124
"PI425965","Iran",55,143,-91,143,250,124
"PI368277","India",156,98,-145,142,251,125
"PI425725","Afghanistan",153,95,-37,44,255,126
"PI363147","",49,157,-104,158,260,127
"PI425261","Philippines",86,77,-12,112,263,128
"PI369795","Philippines",206,100,-98,56,264,129
"PI377268","India",182,128,-181,136,265,130
"PI363517","India",208,192,-163,29,266,131
"PI362316","Korea",91,114,-39,101,267,133
"PI363591","India",169,130,-198,166,267,133
"PI425399","India",33,137,-108,207,269,134
"PI377193","India",63,151,-83,139,270,135
"PI363696","India",209,160,-202,104,271,136
"PI363459","India",138,81,-122,177,274,138
"PI363647","India",89,214,-209,180,274,138
"PI377186","India",165,156,-169,123,275,140
"PI425424","India",59,163,-66,119,275,140
"PI426098","India",162,106,-96,105,277,141
"PI377239","India",202,44,-113,145,278,142
"PI364218","India",54,115,-80,190,279,143
"PI364213","India",190,193,-134,31,280,144
"PI426029","Philippines",113,126,-69,111,281,145
"PI377138","Iran",130,82,-3,73,282,146
"PI425138","India",119,181,-147,132,285,149
"PI425510","India",69,132,-32,116,285,149
"PI425527","United Kingdom",175,135,-140,115,285,149
"PI425587","Korea",146,149,-160,156,291,150
"PI363596","India",170,118,-42,47,293,152
"PI425422","India",207,201,-184,69,293,152
"PI377263","India",196,30,-30,102,298,153
"PI363585","India",148,120,-129,161,300,154
"PI363190","India",160,134,-110,117,301,155
"PI425842","Pakistan",123,80,-56,155,302,156
"PI377236","India",82,67,-17,171,303,157
"PI363493","India",99,121,-79,163,304,159
"PI364231","India",188,196,-179,99,304,159
"PI363152","",26,211,-123,191,305,160
"PI425533","United Kingdom",192,103,-115,129,309,161
"PI377238","India",183,145,-170,152,310,162
"PI363326","India",88,168,-102,157,311,163
"PI363475","India",6,216,-20,110,312,165
"PI377349","India",128,141,-121,164,312,165
"PI363635","India",44,223,-171,217,313,166
"PI164770","India",129,140,-73,118,314,168
"PI363315","India",161,159,-126,120,314,168
"PI363302","Russia",144,133,-107,146,316,171
"PI377202","India",173,123,-167,187,316,171
"PI377272","India",92,218,-180,186,316,171
"P1368276",NA,205,184,-144,76,321,173
"PI425464","",189,215,-168,85,321,173
"PI425418","India",174,190,-138,96,322,174
"PI425575","Korea",117,200,-216,223,324,175
"PI305413","Iraq",221,170,-127,61,325,178
"PI363678","India",122,210,-172,165,325,178
"PI377286","India",164,147,-159,173,325,178
"PI363600","India",220,104,-77,83,330,180
"PI427060","Pakistan",181,177,-63,35,330,180
"PI385297","India",96,209,-187,216,334,181
"PI271401","India",204,119,-25,39,337,182
"PI377228","India",106,155,-71,149,339,183
"PI425192","Australia",200,139,-211,214,342,184
"PI425832","Philippines",133,47,-18,182,344,185
"PI167295","Turkey",171,186,-183,172,346,187
"PI425503","India",2,173,-38,209,346,187
"PI363374","India",151,96,-82,183,348,188
"PI425136","India",210,146,-199,201,358,189
"PI425586","Korea",103,182,-59,134,360,190
"PI363869","India",53,158,-54,204,361,191
"PI363153","India",64,179,-78,198,363,192
"PI425822","Philippines",187,58,-7,126,364,193
"PI363516","India",212,7,-34,181,366,194
"PI362326","Korea",157,117,-111,208,371,195
"PI364028","India",222,65,-74,160,373,198
"PI377014","India",201,93,-109,188,373,198
"PI377233","India",39,220,-62,176,373,198
"PI377267","India",142,49,-13,200,378,199
"PI376952","India",147,208,-185,212,382,200
"PI362322","Korea",214,161,-92,107,390,201
"PI254557","Afghanistan",85,166,-27,167,391,202
"PI363605","India",121,191,-100,197,409,203
"PI363380","India",193,34,-22,206,411,204
"PI363823","India",159,180,-60,135,414,205
"PI363149","",215,25,-4,184,420,206
"PI363824","India",149,165,-67,175,422,207
"PI425508","India",137,105,-16,203,429,208
"PI425219","",94,202,-31,168,433,209
"PI425577","Korea",97,164,-45,220,436,210
"PI183936","India",180,87,-21,193,439,212
"PI377275","India",218,36,-26,211,439,212
"PI363604","India",131,217,-118,210,440,214
"PI425481","Philippines",211,183,-105,151,440,214
"PI425823","Philippines",191,167,-70,159,447,215
"PI362327","Korea",155,204,-112,202,449,216
"PI425535","United Kingdom",176,221,-155,213,455,217
"PI425456","",195,188,-15,124,492,218
"PI363699","India",158,203,-33,174,502,220
"PI377308","India",70,212,-2,222,502,220
"PI377312","India",141,187,-43,218,503,221
"PI363391","India",77,222,-11,219,507,222
"PI377288","India",185,199,-10,154,528,223
